URL;Judul Iklan;Harga;Lokasi;Merk Mobil;Model Mobil;Varian;Tahun;Kilometer;Transmisi;Bahan Bakar;Kapasitas Mesin (cc);Cluster;Kategori_Mobil
https://www.olx.co.id/item/toyota-vios-2005-bensin-iid-943334429;Toyota Vios (2005);65000000;Tanah Sereal, Bogor Kota;Toyota;Vios;1.5 G Bensin-MT;2005.0;180000.0;Manual;Bensin;--;1;Mobil Murah
https://www.olx.co.id/item/toyota-kijang-innova-2016-diesel-iid-943638057;Toyota Kijang Innova (2016);291000000;Pondok Gede, Bekasi Kota;Toyota;Kijang;2.4 V Solar-AT;2016.0;70000.0;Automatic;Diesel;>2.000 - 3.000 cc;1;Mobil Murah
https://www.olx.co.id/item/suzuki-baleno-next-g-2004-bensin-iid-943333534;Suzuki Baleno Next-G (2004);53000000;Tanah Sereal, Bogor Kota;Suzuki;Baleno;1.5 Bensin-AT;2004.0;140000.0;Automatic;Bensin;>1.000 - 1.500 cc;1;Mobil Murah
https://www.olx.co.id/item/mercedes-benz-c250-2013-bensin-iid-943636603;Mercedes-Benz C250 (2013);200000000;Bekasi Barat, Bekasi Kota;Mercedes-Benz;C250;;2013.0;112500.0;Automatic;Bensin;>2.000 - 3.000 cc;1;Mobil Murah
https://www.olx.co.id/item/honda-city-2012-bensin-iid-943333393;Honda City (2012);118000000;Tanah Sereal, Bogor Kota;Honda;City;1.5 E Bensin-AT;2012.0;117500.0;Automatic;Bensin;>1.000 - 1.500 cc;1;Mobil Murah
https://www.olx.co.id/item/honda-brio-at-tipe-e-2014-iid-943331498;Honda Brio (2014);105000000;Bantarjati, Bogor Kab.;Honda;Brio;1.2 E Bensin-AT;2014.0;107500.0;Automatic;Bensin;>1.000 - 1.500 cc;1;Mobil Murah
https://www.olx.co.id/item/creta-prime-2023-atmatic-km-50rb-iid-943325029;Hyundai Creta (2023);261000000;Bogor Tengah - Kota, Bogor Kota;Hyundai;Creta;1.5 Prime IVT Two tone Bensin-AT;2023.0;42500.0;Automatic;Bensin;>1.500 - 2.000 cc;0;Mobil Menengah
https://www.olx.co.id/item/dp-murah-nissan-livina-15-el-bensin-mt-2019-orange-ctyvb-iid-943548078;Nissan Livina (2019);159000000;Jatinegara, Jakarta Timur;Nissan;Livina;1.5 EL Bensin-MT;2019.0;142500.0;Manual;Bensin;;1;Mobil Murah
https://www.olx.co.id/item/dp-murah-mazda-cx-8-25-elite-bensin-at-2019-abu-abu-ckoyb-iid-943337017;Mazda Cx-8 (2019);290000000;Duren Sawit, Jakarta Timur;Mazda;Cx-8;2.5 Elite Bensin-AT;2019.0;157500.0;Automatic;Bensin;;1;Mobil Murah
https://www.olx.co.id/item/panoramic-mercedes-benz-mercy-e300-e-300-avantgarde-avg-2012-2013-iid-943415300;Mercedes-Benz E300 (2012);180000000;Bekasi Utara, Bekasi Kota;Mercedes-Benz;E300;3.0 Avantgarde AMG Bensin-AT;2012.0;97500.0;Automatic;Bensin;>2.000 - 3.000 cc;1;Mobil Murah
https://www.olx.co.id/item/honda-cr-v-2011-bensin-iid-943319848;Honda Cr-V (2011);100000000;Ciomas, Bogor Kab.;Honda;Cr-V;2.0 i-VTEC Bensin-MT;2011.0;160000.0;Manual;Bensin;--;1;Mobil Murah
https://www.olx.co.id/item/toyota-innova-24-v-at-diesel-2022-iid-943635170;Toyota Kijang Innova (2022);410000000;Bekasi Barat, Bekasi Kota;Toyota;Kijang;2.4 V Solar-AT;2022.0;52500.0;Automatic;Diesel;>2.000 - 3.000 cc;0;Mobil Menengah
https://www.olx.co.id/item/mazda-cx-5-2012-bensin-iid-943318279;Mazda Cx-5 (2012);140000000;Bogor Barat - Kota, Bogor Kota;Mazda;Cx-5;;2012.0;117500.0;Automatic;Bensin;--;1;Mobil Murah
https://www.olx.co.id/item/honda-br-v-2023-bensin-iid-943634312;Honda Br-V (2023);200000000;Pondok Gede, Bekasi Kota;Honda;Br-V;1.5 Prestige Bensin-AT;2023.0;50000.0;Automatic;Bensin;>1.500 - 2.000 cc;0;Mobil Menengah
https://www.olx.co.id/item/toyota-kijang-kapsul-long-18-karb-model-offroad-iid-941666868;Toyota Kijang (2002);49950000;Ciomas, Bogor Kab.;Toyota;Kijang;1.8 Bensin-MT;2002.0;257500.0;Manual;Bensin;>1.500 - 2.000 cc;1;Mobil Murah
https://www.olx.co.id/item/honda-freed-e-psd-2011-metik-bagus-iid-943634110;Honda Freed (2011);118000000;Cipayung, Jakarta Timur;Honda;Freed;1.5 E Bensin-AT;2011.0;122500.0;Automatic;Bensin;>1.000 - 1.500 cc;1;Mobil Murah
